date,hour,demand
2021-03-01,0,57.01325173201927
2021-03-01,1,46.31205694899556
2021-03-01,2,46.31205694899556
2021-03-01,3,45.9520017845895
2021-03-01,5,47.239669051179355
2021-03-01,6,49.79822331637391
2021-03-01,7,59.83680313964378
2021-03-01,8,69.13794270408943
2021-03-01,9,73.74879271003167
2021-03-01,10,71.68385529130316
2021-03-01,11,78.01421724133357
2021-03-01,12,96.59433764573926
2021-03-01,13,96.59433764573926
2021-03-01,14,98.10491660513638
2021-03-01,15,98.10491660513638
2021-03-01,16,95.75738042193183
2021-03-01,17,98.37821240243429
2021-03-01,18,98.37821240243429
2021-03-01,19,95.60209791060521
2021-03-01,20,81.45839310231658
2021-03-01,21,63.02921480216839
2021-03-01,22,62.146580286949956
2021-03-01,23,57.9069709618109
2021-03-02,0,51.627940528547136
2021-03-02,1,53.08235056322635
2021-03-02,2,53.08235056322635
2021-03-02,4,52.84508088663406
2021-03-02,6,53.091327642893795
2021-03-02,7,62.73904093502451
2021-03-02,8,69.05610834532514
2021-03-02,9,72.83001055538486
2021-03-02,10,73.45312173563752
2021-03-02,11,79.78348368566793
2021-03-02,12,86.58705168875468
2021-03-02,13,86.58705168875468
2021-03-02,14,85.03331143979096
2021-03-02,15,83.02051469952104
2021-03-02,16,91.24611061253903
2021-03-02,17,92.62492312240926
2021-03-02,18,92.62492312240926
2021-03-02,19,88.50595390266123
2021-03-02,20,77.7182692763727
2021-03-02,21,63.29974535739302
2021-03-02,22,58.40064438455566
2021-03-02,23,56.08243744475453
2021-03-03,0,60.62040899155967
2021-03-03,2,56.868607606906224
2021-03-03,3,56.50855244250016
2021-03-03,4,56.63133793031393
2021-03-03,5,56.87758468657367
2021-03-03,6,56.87758468657367
2021-03-03,7,66.10786043717474
2021-03-03,8,72.42492784747539
2021-03-03,9,77.03577785341763
2021-03-03,10,78.21095125288399
2021-03-03,11,81.63050525149048
2021-03-03,12,80.78288940143094
2021-03-03,13,80.78288940143094
2021-03-03,14,79.22914915246722
2021-03-03,15,77.2163524121973
2021-03-03,16,86.47003452854587
2021-03-03,17,87.8488470384161
2021-03-03,18,88.09224614820712
2021-03-03,19,88.42478994839045
2021-03-03,20,78.81512641808543
2021-03-03,21,64.40231094240866
2021-03-03,22,61.18248948373624
2021-03-03,23,56.15983021505224
2021-03-04,0,59.66987338558672
2021-03-04,1,57.22116563716547
2021-03-04,2,57.22116563716547
2021-03-04,4,56.76715982970185
2021-03-04,6,57.01340658596159
2021-03-04,7,65.45483562514696
2021-03-04,8,71.77190303544761
2021-03-04,9,75.54580524550732
2021-03-04,10,80.44162585084301
2021-03-04,11,83.8611798494495
2021-03-04,12,81.94910532403206
2021-03-04,13,81.94910532403206
2021-03-04,14,80.39536507506834
2021-03-04,15,81.72300419708917
2021-03-04,16,83.86858348438976
2021-03-04,17,84.75651296096154
2021-03-04,18,84.17219869441091
2021-03-04,19,82.90497771450478
2021-03-04,20,76.08057643727308
2021-03-04,21,64.64609494776346
2021-03-04,22,61.90440173236079
2021-03-04,23,57.868653102240465
2021-03-05,0,65.47477067162228
2021-03-05,1,60.40550694531669
2021-03-05,2,60.40550694531669
2021-03-05,3,58.5410464027431
2021-03-05,4,58.66383189055687
2021-03-05,5,58.91007864681661
2021-03-05,6,58.91007864681661
2021-03-05,7,65.66244572113989
2021-03-05,8,71.36766894624871
2021-03-05,9,79.08279893997071
2021-03-05,10,91.30230157656095
2021-03-05,11,96.77852480757606
2021-03-05,12,100.20907544585496
2021-03-05,13,99.18408596893889
2021-03-05,14,97.63034571997517
2021-03-05,15,98.957984841996
2021-03-05,16,99.5902704576132
